MSOA code,low,mid,high
E02001087,486250 ,615000 ,878750 
E02001088,189250 ,232500 ,257500 
E02001089,294750 ,400000 ,475000 
E02001090,265000 ,300000 ,357000 
E02001091,240000 ,335000 ,465000 
E02001092,199250 ,285000 ,320000 
E02001093,247750 ,259975 ,283125 
E02001094,#N/A,#N/A,#N/A
E02001095,184875 ,210750 ,236625 
E02001096,166250 ,235000 ,279500 
E02001097,156000 ,235500 ,252000 
E02006902,#N/A,#N/A,#N/A
E02006912,#N/A,#N/A,#N/A
E02006913,101000 ,120000 ,126750 
E02006914,#N/A,#N/A,#N/A
E02006915,182500 ,207500 ,220500 
E02006916,229950 ,229950 ,229950 
E02006917,425000 ,425000 ,425000 
E02001098,186500 ,230000 ,305000 
E02001099,172250 ,214975 ,234375 
E02001100,182625 ,222500 ,283125 
E02001101,138750 ,178000 ,256000 
E02001102,155000 ,193000 ,225000 
E02001103,330500 ,355000 ,407500 
E02001104,172500 ,200000 ,225000 
E02001105,159000 ,212500 ,260750 
E02001106,131500 ,187000 ,218750 
E02001107,176000 ,219349 ,290000 
E02001108,115750 ,116500 ,117250 
E02001109,178863 ,211750 ,230000 
E02001110,266246 ,350975 ,537500 
E02001111,45000 ,45000 ,45000 
E02001112,249950 ,289000 ,340000 
E02001113,86575 ,96250 ,101000 
E02001114,185000 ,229950 ,316000 
E02001115,173500 ,227500 ,252000 
E02001116,83713 ,106500 ,156996 
E02001117,312500 ,358000 ,455000 
E02001118,235500 ,290000 ,341834 
E02001119,80000 ,85000 ,130000 
E02001121,175000 ,175000 ,175000 
E02001123,132500 ,167250 ,189375 
E02001124,123000 ,123000 ,123000 
E02001125,155000 ,170000 ,178000 
E02001126,175000 ,175000 ,175000 
E02001127,89995 ,100000 ,221000 
E02001128,175000 ,179000 ,210000 
E02001129,152500 ,160000 ,185000 
E02001130,160750 ,233000 ,288750 
E02001131,169750 ,176000 ,187500 
E02006860,95000 ,144500 ,200000 
E02001132,204500 ,267500 ,326250 
E02001133,180000 ,235000 ,285000 
E02001134,181250 ,235000 ,269000 
E02001135,177500 ,217500 ,251750 
E02001136,200750 ,243750 ,262250 
E02001137,202500 ,241000 ,344250 
E02001138,215000 ,295000 ,350000 
E02001139,75175 ,91000 ,108000 
E02001140,120500 ,146250 ,224975 
E02001141,127500 ,135000 ,191250 
E02001142,236250 ,284500 ,372500 
E02001143,144000 ,165000 ,198750 
E02001144,178950 ,218000 ,255000 
E02001145,179250 ,215000 ,270000 
E02001146,96000 ,115000 ,140000 
E02001147,175000 ,250000 ,290000 
E02001148,150625 ,170000 ,194000 
E02001149,123250 ,164000 ,191250 
E02001150,142500 ,173500 ,211500 
E02001151,195000 ,237500 ,272500 
E02001152,164613 ,192500 ,231238 
E02001153,103500 ,137475 ,166875 
E02001154,149250 ,153250 ,177650 
E02001155,129000 ,175500 ,245000 
