MSOA code,low,mid,high
E02003967,#N/A,#N/A,#N/A
E02003968,145000 ,145000 ,145000 
E02003969,#N/A,#N/A,#N/A
E02003970,93750 ,112500 ,131250 
E02003971,#N/A,#N/A,#N/A
E02003972,53000 ,53000 ,53000 
E02003973,#N/A,#N/A,#N/A
E02003974,39500 ,39500 ,39500 
E02003975,#N/A,#N/A,#N/A
E02003976,149950 ,172000 ,174000 
E02003977,57125 ,57750 ,58375 
E02003978,71250 ,86500 ,101750 
E02003979,#N/A,#N/A,#N/A
E02003980,34000 ,41000 ,50500 
E02003981,#N/A,#N/A,#N/A
E02003982,107000 ,134000 ,161000 
E02003983,58250 ,59500 ,60750 
E02003984,34000 ,34000 ,34000 
E02003985,#N/A,#N/A,#N/A
E02003986,45000 ,45000 ,45000 
E02003987,#N/A,#N/A,#N/A
E02003988,#N/A,#N/A,#N/A
E02003989,80250 ,83500 ,86750 
E02003990,94000 ,94000 ,94000 
E02003991,#N/A,#N/A,#N/A
E02003992,50000 ,54000 ,55000 
E02003993,262000 ,262000 ,262000 
E02003994,70000 ,95000 ,107500 
E02003995,#N/A,#N/A,#N/A
E02003996,55000 ,61000 ,71000 
E02003997,55500 ,65000 ,74500 
E02003998,50250 ,57500 ,64750 
E02003999,60000 ,60000 ,60000 
E02004000,70000 ,70000 ,70000 
E02004001,56500 ,58000 ,63500 
E02004002,#N/A,#N/A,#N/A
E02004003,39999 ,39999 ,39999 
E02004004,#N/A,#N/A,#N/A
E02004005,#N/A,#N/A,#N/A
E02004006,107000 ,118000 ,141250 
E02004007,#N/A,#N/A,#N/A
E02004008,75000 ,75000 ,75000 
E02004009,#N/A,#N/A,#N/A
E02004010,75000 ,79750 ,127500 
E02004011,71125 ,77250 ,83375 
E02004012,170000 ,170000 ,170000 
E02004013,70496 ,70998 ,71499 
E02004014,62000 ,62000 ,62000 
E02004015,170500 ,200000 ,249750 
E02004016,68500 ,77500 ,129000 
E02004017,83750 ,92000 ,97475 
E02004018,73750 ,84000 ,94250 
E02004019,88000 ,92500 ,116000 
E02004020,94000 ,106000 ,110000 
E02004021,140000 ,140000 ,140000 
E02004022,125000 ,125000 ,125000 
E02004023,104000 ,111000 ,118000 
E02004024,231250 ,262500 ,293750 
E02004025,72750 ,79000 ,101000 
E02004026,106750 ,110500 ,114250 
E02004027,67250 ,71500 ,80250 
E02004028,122500 ,130000 ,137500 
E02000984,120000 ,120000 ,120000 
E02000985,#N/A,#N/A,#N/A
E02000986,103250 ,105000 ,108475 
E02000987,61500 ,72250 ,83750 
E02000988,46000 ,47000 ,55500 
E02000989,91500 ,103000 ,106500 
E02000990,73500 ,73500 ,73500 
E02000991,#N/A,#N/A,#N/A
E02000992,#N/A,#N/A,#N/A
E02000993,58000 ,58000 ,58000 
E02000994,#N/A,#N/A,#N/A
E02000995,72500 ,83750 ,100963 
E02000996,58375 ,69250 ,80125 
E02000997,#N/A,#N/A,#N/A
E02000998,41500 ,43500 ,49625 
E02000999,55000 ,55000 ,55000 
E02001000,70000 ,70000 ,70000 
E02001001,89000 ,89000 ,89000 
E02001002,66250 ,86500 ,106750 
E02001003,75000 ,75000 ,75000 
E02001004,79000 ,79000 ,79000 
E02001005,#N/A,#N/A,#N/A
E02001006,93500 ,93500 ,93500 
E02001007,66250 ,75000 ,84750 
E02001008,#N/A,#N/A,#N/A
E02001009,59000 ,59000 ,59000 
E02001010,50000 ,52000 ,69375 
E02001011,73250 ,82500 ,93750 
E02001012,#N/A,#N/A,#N/A
E02001013,85000 ,85000 ,85000 
E02001014,#N/A,#N/A,#N/A
E02001015,46000 ,46000 ,46000 
E02001016,51500 ,55000 ,57500 
E02001017,62250 ,67500 ,68750 
E02001018,72250 ,74000 ,75750 
E02001019,79500 ,85000 ,91250 
E02001020,#N/A,#N/A,#N/A
E02001021,106250 ,107500 ,108750 
E02001022,71250 ,80000 ,102500 
E02001023,#N/A,#N/A,#N/A
